,name,chef,hometown,city,state,age,season,seasonNumber,series,placement,personOfColor,occupation,gender,X14,occupation_category
0,Ross Larkin,Ross L.,,St. Johns,Newfoundland,31.0,Canada 6,6.0,Canada,1.0,,Chef de Cuisine,Male,,Chef de Cuisine
1,Mark Singson,Mark S.,,Vancouver,British Columbia,29.0,Canada 6,6.0,Canada,2.0,POC,Chef/Owner,Male,,Executive Chef and Owner/Partner/Founder
2,Jinhee Lee,Jinhee L.,,Calgary,Alberta,38.0,Canada 6,6.0,Canada,3.0,POC,Executive chef,Female,,
3,JP Miron,JP M.,,Montreal,Quebec,30.0,Canada 6,6.0,Canada,3.0,,Chef de Cuisine,Male,,Chef de Cuisine
4,Nathan Guggeheimer,Nathan G.,,Saskatoon,Saskatchewan,35.0,Canada 6,6.0,Canada,5.0,,Chef/Partner,Male,,Executive Chef and Owner/Partner/Founder
5,Darren Rogers,Darren R.,,Montreal,Quebec,27.0,Canada 6,6.0,Canada,6.0,,Chef de Cuisine,Male,,Chef de Cuisine
6,Jesse Zuber,Jesse Z.,,Saskatoon,Saskatchewan,29.0,Canada 6,6.0,Canada,7.0,,Chef/Partner,Male,,Executive Chef and Owner/Partner/Founder
7,Matt Sullivan,Matt S.,,Toronto,Ontario,34.0,Canada 6,6.0,Canada,7.0,,Executive chef,Male,,
8,Elia Herrera,Elia H.,,Toronto,Ontario,37.0,Canada 6,6.0,Canada,9.0,POC,Executive chef,Female,,
9,Ivana Raca,Ivana R.,,Toronto,Ontario,33.0,Canada 6,6.0,Canada,10.0,,Chef/Owner,Female,,Executive Chef and Owner/Partner/Founder
10,Felix Zhou,Felix Z.,,Coquitlam,British Columbia,29.0,Canada 6,6.0,Canada,11.0,POC,Chef/Owner,Male,,Executive Chef and Owner/Partner/Founder
11,Harold Dieterle,Harold D.,,New York,New York,28.0,San Francisco,1.0,US,1.0,,Restaurant chef,Male,,
12,Tiffani Faison,Tiffani F.,,Las Vegas,Nevada,28.0,San Francisco,1.0,US,2.0,,Restaurant chef,Female,,
13,Dave Martin,Dave M.,,Long Beach,California,40.0,San Francisco,1.0,US,3.0,,Restaurant chef,Male,,
14,Lee Anne Wong,Lee Anne W.,,New York,New York,28.0,San Francisco,1.0,US,4.0,POC,Executive chef,Female,,
15,Stephen Asprinio,Stephen A.,,Las Vegas,Nevada,24.0,San Francisco,1.0,US,5.0,,Sommelier,Male,,
16,Miguel Morales,Miguel M.,,New York,New York,27.0,San Francisco,1.0,US,6.0,,Hotel chef,Male,,
17,Andrea Beaman,Andrea B.,,New York,New York,37.0,San Francisco,1.0,US,7.0,,Natural nutritionist,Female,,
18,Lisa Parks,Lisa P.,,Los Angeles,California,45.0,San Francisco,1.0,US,8.0,POC,Cooking teacher,Female,,
19,Candice Kumai,Candice K.,,Pasadena,California,23.0,San Francisco,1.0,US,9.0,POC,Culinary student,Female,,
20,Brian Hill,Brian H.,,Los Angeles,California,37.0,San Francisco,1.0,US,10.0,POC,Personal chef/caterer,Male,,
21,Cynthia Sestito,Cynthia S.,,East Hampton,New York,52.0,San Francisco,1.0,US,11.0,,Personal chef/caterer,Female,,
22,Ken Lee,Ken L.,"Dublin, Ireland",Los Angeles,California,34.0,San Francisco,1.0,US,12.0,,Restaurant chef,Male,,
23,Ilan Hall,Ilan H.,,New York,New York,24.0,Los Angeles,2.0,US,1.0,,Line cook,Male,,
24,Marcel Vigneron,Marcel V.,,Las Vegas,Nevada,26.0,Los Angeles,2.0,US,2.0,,Master cook,Male,,
25,Elia Aboumrad,Elia A.,,Las Vegas,Nevada,23.0,Los Angeles,2.0,US,3.0,POC,Room service chef,Female,,
26,Sam Talbot,Sam T.,,New York,New York,28.0,Los Angeles,2.0,US,3.0,,Executive consulting chef,Male,,
27,Cliff Crooks,Cliff C.,,West Caldwell,New Jersey,28.0,Los Angeles,2.0,US,5.0,POC,Executive chef,Male,,
28,Michael Midgley,Michael M.,,Lodi,California,28.0,Los Angeles,2.0,US,6.0,,Line cook,Male,,
29,Betty Fraser,Betty F.,,Los Angeles,California,44.0,Los Angeles,2.0,US,7.0,,Chef/Owner,Female,,Executive Chef and Owner/Partner/Founder
30,Mia Gaines-Alt,Mia G.-A.,,Oakdale,California,32.0,Los Angeles,2.0,US,8.0,POC,Chef/Owner,Female,,Executive Chef and Owner/Partner/Founder
31,Frank Terzoli,Frank T.,,San Diego,California,39.0,Los Angeles,2.0,US,9.0,,Executive chef,Male,,
32,Carlos Fernandez,Carlos F.,,Fort Lauderdale,Florida,36.0,Los Angeles,2.0,US,10.0,POC,Chef/Owner,Male,,Executive Chef and Owner/Partner/Founder
33,Josie Smith-Malave,Josie S.-M.,,Brooklyn,New York,31.0,Los Angeles,2.0,US,11.0,POC,Sous chef,Female,,
34,Marisa Churchill,Marisa C.,,San Francisco,California,28.0,Los Angeles,2.0,US,11.0,POC,Executive pastry chef,Female,,
35,Emily Sprissler,Emily S.,,Las Vegas,Nevada,30.0,Los Angeles,2.0,US,13.0,,Master cook,Female,,
36,Otto Borsich,Otto B.,,Las Vegas,Nevada,46.0,Los Angeles,2.0,US,14.0,,Instructor,Male,,
37,Suyai Steinhauer,Suyai S.,,New York,New York,29.0,Los Angeles,2.0,US,15.0,,Chef/Owner,Female,,Executive Chef and Owner/Partner/Founder
38,Hung Huynh,Hung H.,"Pittsfield, Massachusetts",Las Vegas,Nevada,29.0,Miami,3.0,US,1.0,POC,Executive sous chef,Male,,
39,Casey Thompson,Casey T.,"Cedar Hill, Texas",Dallas,Texas,29.0,Miami,3.0,US,2.0,,Executive chef,Female,,
40,Dale Levitski,Dale L.,"Chicago, Illinois",Chicago,Illinois,33.0,Miami,3.0,US,2.0,,Chef/Consultant,Male,,Chef
41,Brian Malarkey,Brian M.,"Bend, Oregon",San Diego,California,34.0,Miami,3.0,US,4.0,,Executive chef,Male,,
42,Sara Mair,Sara M.,"Kingston, Jamaica",Miami,Florida,33.0,Miami,3.0,US,5.0,POC,Chef/cheese maker,Female,,
43,Chris Jacobson,CJ J.,"El Toro, California",Venice,California,31.0,Miami,3.0,US,6.0,,Private chef,Male,,
44,Howie Kleinberg,Howie K.,"Miami, Florida",Miami,Florida,31.0,Miami,3.0,US,7.0,,Executive chef,Male,,
45,Tre Wilcox,Tre W.,"Duncanville, Texas",Cedar Hill,Texas,30.0,Miami,3.0,US,8.0,POC,Chef de Cuisine,Male,,Chef de Cuisine
46,Sara Nguyen,Sara N.,"Santa Monica, California",Chicago,Illinois,25.0,Miami,3.0,US,9.0,POC,Executive chef,Female,,
47,Joey Paulino,Joey P.,"Long Island, New York",New York,New York,29.0,Miami,3.0,US,10.0,,Executive chef,Male,,
48,Lia Bardeen,Lia B.,"Tacoma, Washington",Brooklyn,New York,27.0,Miami,3.0,US,11.0,,Executive sous chef,Female,,
49,Camille Becerra,Camille B.,"Elizabeth, New Jersey",Brooklyn,New York,34.0,Miami,3.0,US,12.0,POC,Executive chef/Owner,Female,,
50,Micah Edelstein,Micah E.,"Bridgewater, Massachusetts",Boca Raton,Florida,32.0,Miami,3.0,US,13.0,,Owner/caterer,Female,,
51,Sandee Birdsong,Sandee B.,"St. Simons Island, Georgia",Miami Beach,Florida,39.0,Miami,3.0,US,14.0,,Executive chef,Female,,
52,Clay Bowen,Clay B.,"Columbus, Mississippi",Santa Barbara,California,28.0,Miami,3.0,US,15.0,,Sous chef,Male,,
53,Stephanie Izard,Stephanie I.,"Stamford, Connecticut",Chicago,Illinois,31.0,Chicago,4.0,US,1.0,,,Female,,
54,Lisa Fernandes,Lisa F.,"Toronto, Ontario",New York,New York,27.0,Chicago,4.0,US,2.0,,,Female,,
55,Richard Blais,Richard B.,"Uniondale, New York",Atlanta,Georgia,35.0,Chicago,4.0,US,2.0,,,Male,,
56,Antonia Lofaso,Antonia L.,"Los Angeles, California",Los Angeles,California,31.0,Chicago,4.0,US,4.0,,,Female,,
57,Spike Mendelsohn,Spike M.,"Clearwater Beach, Florida",Washington,D.C.,27.0,Chicago,4.0,US,5.0,,,Male,,
58,Dale Talde,Dale T.,"Chicago, Illinois",New York,New York,29.0,Chicago,4.0,US,6.0,POC,,Male,,
59,Andrew D'Ambrosi,Andrew D.,"Fort Lauderdale, Florida",New York,New York,30.0,Chicago,4.0,US,7.0,,,Female,,
60,Nikki Cascone,Nikki C.,"New York, New York",New York,New York,35.0,Chicago,4.0,US,8.0,,Chef/Co-owner,Female,,Executive Chef and Owner/Partner/Founder
61,Mark Simmons,Mark S.,"Invercargill, New Zealand",New York,New York,29.0,Chicago,4.0,US,9.0,,,Male,,
62,Jennifer Biesty,Jennifer B.,"Brooklyn, New York",San Francisco,California,35.0,Chicago,4.0,US,10.0,,,Female,,
63,Ryan Scott,Ryan S.,"Los Banos, California",San Francisco,California,28.0,Chicago,4.0,US,11.0,,,Male,,
64,Zoi Antonitsas,Zoi A.,"Seattle, Washington",San Francisco,California,30.0,Chicago,4.0,US,12.0,,,Female,,
65,Manuel Trevino,Manuel T.,"Laredo, Texas",New York,New York,33.0,Chicago,4.0,US,13.0,POC,,Male,,
66,Erik Hopfinger,Erik H.,"Chappaqua, New York",San Francisco,California,38.0,Chicago,4.0,US,14.0,,,Male,,
67,Valerie Bolon,Valerie B.,"Chicago, Illinois",Chicago,Illinois,32.0,Chicago,4.0,US,15.0,,,Female,,
68,Nimma Osman,Nimma O.,"Peachtree City, Georgia",Atlanta,Georgia,26.0,Chicago,4.0,US,16.0,POC,,Female,,
69,Hosea Rosenberg,Hosea R.,"Taos, New Mexico",Boulder,Colorado,34.0,New York,5.0,US,1.0,,,Male,,
70,Carla Hall,Carla H.,"Nashville, Tennessee",Washington,D.C.,44.0,New York,5.0,US,2.0,POC,Executive chef,Female,,
71,Stefan Richter,Stefan R.,"Tampere, Finland",Santa Monica,California,35.0,New York,5.0,US,2.0,,,Male,,
72,Fabio Viviani,Fabio V.,"Florence, Italy",Moorpark,California,30.0,New York,5.0,US,4.0,,,Male,,
73,Jeffrey McInnis,Jeff M.,"Niceville, Florida",Miami,Florida,30.0,New York,5.0,US,4.0,,,Male,,
74,Leah Cohen,Leah C.,"Scarsdale, New York",New York,New York,26.0,New York,5.0,US,6.0,,,Female,,
75,Jamie Lauren,Jamie L.,"New York, New York",San Francisco,California,30.0,New York,5.0,US,7.0,,Executive chef,Female,,
76,Radhika Desai,Radhika D.,"Chicago, Illinois",Chicago,Illinois,28.0,New York,5.0,US,8.0,POC,,Female,,
77,Ariane Duarte,Ariane D.,"Verona, New Jersey",Verona,New Jersey,41.0,New York,5.0,US,9.0,,,Female,,
78,Eugene Villiatora,Eugene V.,"Whitmore Village, Hawaii",Las Vegas,Nevada,33.0,New York,5.0,US,10.0,POC,,Male,,
79,Melissa Harrison,Melissa H.,"Sparks, Maryland",Boulder,Colorado,28.0,New York,5.0,US,10.0,,,Female,,
80,Daniel Gagnon,Daniel G.,"New Hyde Park, New York",New Hyde Park,New York,26.0,New York,5.0,US,12.0,,,Male,,
81,Alex Eusebio,Alex E.,"New York, New York",Los Angeles,California,33.0,New York,5.0,US,13.0,,,Male,,
82,Richard Sweeney,Richard S.,"Sayville, New York",San Diego,California,27.0,New York,5.0,US,14.0,,,Male,,
83,Jill Snyder,Jill S.,"Latrobe, Pennsylvania",Baltimore,Maryland,28.0,New York,5.0,US,15.0,,,Female,,
84,Patrick Dunlea,Patrick D.,"Quincy, Massachusetts",Hyde Park,New York,21.0,New York,5.0,US,16.0,,,Male,,
85,Lauren Hope,Lauren H.,"Cincinnati, Ohio",Savannah,Georgia,24.0,New York,5.0,US,17.0,,,Female,,
86,Michael Voltaggio,Michael V.,"Frederick, Maryland",Pasadena,California,30.0,Las Vegas,6.0,US,1.0,,Chef de Cuisine,Male,,Chef de Cuisine
87,Bryan Voltaggio,Bryan V.,"Frederick, Maryland",Urbana,Maryland,33.0,Las Vegas,6.0,US,2.0,,,Male,,
88,Kevin Gillespie,Kevin G.,"Atlanta, Georgia",Atlanta,Georgia,26.0,Las Vegas,6.0,US,2.0,,,Male,,
89,Jennifer Carroll,Jennifer C.,"Philadelphia, Pennsylvania",Philadelphia,Pennsylvania,33.0,Las Vegas,6.0,US,4.0,,,Female,,
90,Eli Kirshtein,Eli K.,"Atlanta, Georgia",Atlanta,Georgia,25.0,Las Vegas,6.0,US,5.0,,Executive chef,Male,,
91,Robin Leventhal,Robin L.,"Sun Valley, Idaho",Seattle,Washington,43.0,Las Vegas,6.0,US,6.0,,"Chef, Artist and Teacher",Female,,
92,Mike Isabella,Mike I.,"Little Ferry, New Jersey",Washington,D.C.,34.0,Las Vegas,6.0,US,7.0,,Chef/Owner,Male,,Executive Chef and Owner/Partner/Founder
93,Laurine Wickett,Laurine W.,"Rochester, New York",San Francisco,California,38.0,Las Vegas,6.0,US,8.0,,Chef/Owner,Female,,Executive Chef and Owner/Partner/Founder
94,Ash Fulk,Ash F.,"Pleasant Hill, California",New York,New York,29.0,Las Vegas,6.0,US,9.0,,Chef de Cuisine,Male,,Chef de Cuisine
95,Ashley Merriman,Ashley M.,"Center Sandwich, New Hampshire",Seattle,Washington,32.0,Las Vegas,6.0,US,10.0,,Chef,Female,,Chef
96,Ron Duprat,Ron D.,"Mare Rouge, Haiti",Naples,Florida,40.0,Las Vegas,6.0,US,11.0,POC,Executive chef,Male,,
97,Mattin Noblia,Mattin N.,"Biarritz, France",San Francisco,California,29.0,Las Vegas,6.0,US,12.0,,Owner,Male,,Other
98,Hector Santiago,Hector S.,"San Juan, Puerto Rico",Atlanta,Georgia,41.0,Las Vegas,6.0,US,13.0,POC,Chef/Owner,Male,,Executive Chef and Owner/Partner/Founder
99,Jesse Sandlin,Jesse S.,"Baltimore, Maryland",Baltimore,Maryland,30.0,Las Vegas,6.0,US,14.0,,Executive chef,Female,,
100,Preeti Mistry,Preeti M.,"San Francisco, California",San Francisco,California,33.0,Las Vegas,6.0,US,15.0,POC,Executive chef,Female,,
101,Eve Aronoff,Eve A.,"Ann Arbor, Michigan",Ann Arbor,Michigan,40.0,Las Vegas,6.0,US,16.0,,,Female,,
102,Jennifer Zavala,Jen Z.,"Cromwell, Connecticut",Philadelphia,Pennsylvania,31.0,Las Vegas,6.0,US,17.0,POC,Sous chef,Female,,
103,Kevin Sbraga,Kevin Sb.,"Willingboro, New Jersey",Willingboro,New Jersey,30.0,D.C.,7.0,US,1.0,POC,Executive chef,Male,,
104,Angelo Sosa,Angelo S.,"Durham, Connecticut",New York,New York,34.0,D.C.,7.0,US,2.0,POC,,Male,,
105,Ed Cotton,Ed C.,"Boston, Massachusetts",Queens,New York,32.0,D.C.,7.0,US,2.0,,Executive chef,Male,,
106,Kelly Liken,Kelly L.,"Pittsburgh, Pennsylvania",Vail,Colorado,33.0,D.C.,7.0,US,4.0,,Chef/Owner,Female,,Executive Chef and Owner/Partner/Founder
107,Tiffany Derry,Tiffany D.,"Beaumont, Texas",Dallas,Texas,26.0,D.C.,7.0,US,5.0,POC,,Female,,
108,Amanda Baumgarten,Amanda B.,"Los Angeles, California",Los Angeles,California,27.0,D.C.,7.0,US,6.0,,Executive sous chef,Female,,
109,Alex Reznik,Alex R.,"Brooklyn, New York",Hollywood,California,33.0,D.C.,7.0,US,7.0,,Executive chef,Male,,
110,Kenny Gilbert,Kenny G.,"Euclid, Ohio",Telluride,Colorado,36.0,D.C.,7.0,US,8.0,POC,Owner,Male,,Other
111,Stephen Hopcraft,Stephen H.,"Cleveland, Ohio",Las Vegas,Nevada,40.0,D.C.,7.0,US,9.0,,Executive chef,Male,,
112,Andrea Curto-Randazzo,Andrea C.R.,"Vero Beach, Florida",Miami Beach,Florida,39.0,D.C.,7.0,US,10.0,,,Female,,
113,Tamesha Warren,Tamesha W.,Barbados,Washington,D.C.,24.0,D.C.,7.0,US,11.0,POC,Sous chef,Female,,
114,Timothy Dean,Tim D.,"Washington, D.C.",Baltimore,Maryland,39.0,D.C.,7.0,US,12.0,POC,Chef/Owner,Male,,Executive Chef and Owner/Partner/Founder
115,Arnold Myint,Arnold M.,"Nashville, Tennessee",Nashville,Tennessee,32.0,D.C.,7.0,US,13.0,POC,Chef/Owner,Male,,Executive Chef and Owner/Partner/Founder
116,Lynne Gigliotti,Lynne G.,"Philadelphia, Pennsylvania",Hyde Park,New York,51.0,D.C.,7.0,US,13.0,,Assistant professor,Female,,
117,Tracey Bloom,Tracey B.,"Rochester, New York",Atlanta,Georgia,33.0,D.C.,7.0,US,15.0,,Executive chef,Female,,
118,Jacqueline Lombard,Jacqueline L.,"Boston, Massachusetts",Brooklyn,New York,33.0,D.C.,7.0,US,16.0,,Chef/Owner,Female,,Executive Chef and Owner/Partner/Founder
119,John Somerville,John S.,"Detroit, Michigan",West Bloomfield,Michigan,42.0,D.C.,7.0,US,17.0,,Chef de Cuisine,Male,,Chef de Cuisine
120,Richard Blais,Richard B.,,Atlanta,Georgia,38.0,All Stars: New York,8.0,US,1.0,,Owner,Male,,Other
121,Mike Isabella,Mike I.,,Washington,D.C.,35.0,All Stars: New York,8.0,US,2.0,,Executive chef/Owner,Male,,
122,Antonia Lofaso,Antonia L.,,Los Angeles,California,34.0,All Stars: New York,8.0,US,3.0,,Executive chef,Female,,
123,Tiffany Derry,Tiffany D.,,Dallas,Texas,27.0,All Stars: New York,8.0,US,4.0,POC,Executive chef,Female,,
124,Carla Hall,Carla H.,,Washington,D.C.,46.0,All Stars: New York,8.0,US,5.0,POC,Chef/Owner,Female,,Executive Chef and Owner/Partner/Founder
125,Dale Talde,Dale T.,,New York,New York,32.0,All Stars: New York,8.0,US,6.0,POC,Chef de Cuisine,Male,,Chef de Cuisine
126,Angelo Sosa,Angelo S.,,New York,New York,35.0,All Stars: New York,8.0,US,7.0,POC,President,Male,,Other
127,Fabio Viviani,Fabio V.,,Moorpark,California,32.0,All Stars: New York,8.0,US,8.0,,Owner,Male,,Other
128,Tre Wilcox,Tre W.,,Cedar Hill,Texas,34.0,All Stars: New York,8.0,US,9.0,POC,Executive chef,Male,,
129,Marcel Vigneron,Marcel V.,,Las Vegas,Nevada,30.0,All Stars: New York,8.0,US,10.0,,Executive chef,Male,,
130,Jamie Lauren,Jamie L.,,San Francisco,California,32.0,All Stars: New York,8.0,US,11.0,,Executive chef,Female,,
131,Tiffani Faison,Tiffani F.,,Las Vegas,Nevada,33.0,All Stars: New York,8.0,US,11.0,,Executive chef,Female,,
132,Casey Thompson,Casey T.,,Dallas,Texas,32.0,All Stars: New York,8.0,US,13.0,,Executive chef,Female,,
133,Spike Mendelsohn,Spike M.,,Washington,D.C.,29.0,All Stars: New York,8.0,US,14.0,,Chef/Owner,Male,,Executive Chef and Owner/Partner/Founder
134,Dale Levitski,Dale L.,,Chicago,Illinois,37.0,All Stars: New York,8.0,US,15.0,,Executive chef,Male,,
135,Stephen Asprinio,Stephen A.,,Las Vegas,Nevada,29.0,All Stars: New York,8.0,US,15.0,,Principal,Male,,Other
136,Jennifer Carroll,Jennifer C.,,Philadelphia,Pennsylvania,35.0,All Stars: New York,8.0,US,17.0,,Chef de Cuisine,Female,,Chef de Cuisine
137,Elia Aboumrad,Elia A.,,Las Vegas,Nevada,27.0,All Stars: New York,8.0,US,18.0,POC,Consultant/Private Caterer,Female,,Private chef
138,Paul Qui,Paul Q.,,Austin,Texas,31.0,Texas,9.0,US,1.0,POC,Executive chef,Male,,
139,Sarah Grueneberg,Sarah G.,,Chicago,Illinois,29.0,Texas,9.0,US,2.0,,Executive chef,Female,,
140,Lindsay Autry,Lindsay A.,,West Palm Beach,Florida,29.0,Texas,9.0,US,3.0,,Executive chef,Female,,
141,Beverly Kim,Beverly K.,,Chicago,Illinois,32.0,Texas,9.0,US,4.0,POC,Chef de Cuisine,Female,,Chef de Cuisine
142,Edward Lee,Edward L.,,Louisville,Kentucky,38.0,Texas,9.0,US,5.0,POC,Chef/Owner,Male,,Executive Chef and Owner/Partner/Founder
143,Grayson Schmitz,Grayson S.,,New York,New York,28.0,Texas,9.0,US,6.0,,Chef de Cuisine,Female,,Chef de Cuisine
144,Chris Jones,Chris J.,,Chicago,Illinois,30.0,Texas,9.0,US,7.0,,Chef de Cuisine,Male,,Chef de Cuisine
145,Ty-Lor Boring,Ty-Lor B.,,Brooklyn,New York,34.0,Texas,9.0,US,8.0,,Chef de Cuisine,Male,,Chef de Cuisine
146,Chris Crary,Chris C.,,Los Angeles,California,29.0,Texas,9.0,US,9.0,,Chef de Cuisine,Male,,Chef de Cuisine
147,Heather Terhune,Heather T.,,Chicago,Illinois,39.0,Texas,9.0,US,10.0,,Executive chef,Female,,
148,Dakota Weiss,Dakota W.,,Los Angeles,California,35.0,Texas,9.0,US,11.0,,Executive chef,Female,,
149,Nyesha Arrington,Nyesha A.,,Los Angeles,California,28.0,Texas,9.0,US,11.0,POC,Executive chef,Female,,
150,Whitney Otawka,Whitney O.,,Cumberland Island,Georgia,30.0,Texas,9.0,US,13.0,,Executive chef,Female,,
151,Chuy Valencia,Chuy V.,,Chicago,Illinois,25.0,Texas,9.0,US,14.0,POC,Chef/Owner,Male,,Executive Chef and Owner/Partner/Founder
152,Richie Farina,Richie F.,,Chicago,Illinois,28.0,Texas,9.0,US,15.0,,Sous chef,Male,,
153,Keith Rhodes,Keith R.,,Wilmington,North Carolina,39.0,Texas,9.0,US,16.0,POC,Chef/Owner,Male,,Executive Chef and Owner/Partner/Founder
154,Kristen Kish,Kristen K.,"Kentwood, Michigan",Boston,Massachusetts,28.0,Seattle,10.0,US,1.0,POC,Sous chef,Female,,
155,Brooke Williamson,Brooke W.,"Los Angeles, California",Redondo Beach,California,34.0,Seattle,10.0,US,2.0,,Chef/Owner,Female,,Executive Chef and Owner/Partner/Founder
156,Sheldon Simeon,Sheldon S.,"Hilo, Hawaii",Lahaina,Hawaii,30.0,Seattle,10.0,US,3.0,POC,Executive chef,Male,,
157,Joshua Valentine,Josh V.,"Del City, Oklahoma",Dallas,Texas,33.0,Seattle,10.0,US,4.0,,Executive chef,Male,,
158,Elizabeth Binder,Lizzie B.,"Durban, South Africa",San Francisco,California,37.0,Seattle,10.0,US,5.0,,Executive chef,Female,,
159,Stefan Richter,Stefan R.,"Tampere, Finland",Santa Monica,California,40.0,Seattle,10.0,US,6.0,,Chef/Owner,Male,,Executive Chef and Owner/Partner/Founder
160,Josie Smith-Malave,Josie S.-M.,"Miami, Florida",San Francisco,California,37.0,Seattle,10.0,US,7.0,POC,Chef,Female,,Chef
161,Micah Fields,Micah F.,"Los Angeles, California",Los Angeles,California,28.0,Seattle,10.0,US,8.0,POC,Executive chef,Male,,
162,John Tesar,John T.,"New York, New York",Dallas,Texas,54.0,Seattle,10.0,US,9.0,,Chef/Owner,Male,,Executive Chef and Owner/Partner/Founder
163,Bart Vandaele,Bart V.,"Roeselare, Belgium",Washington,D.C.,42.0,Seattle,10.0,US,10.0,,Chef/Owner,Male,,Executive Chef and Owner/Partner/Founder
164,Danyele McPherson,Danyele M.,"Waynesville, North Carolina",Dallas,Texas,31.0,Seattle,10.0,US,11.0,,Sous chef,Female,,
165,Eliza Gavin,Eliza G.,"Telluride, Colorado",Telluride,Colorado,38.0,Seattle,10.0,US,12.0,,Chef/Owner,Female,,Executive Chef and Owner/Partner/Founder
166,Chris Jacobson,CJ J.,"El Toro, California",Studio City,California,36.0,Seattle,10.0,US,13.0,,Executive chef,Male,,
167,Tyler Wiard,Tyler W.,"Colorado, Colorado",Colorado,Colorado,41.0,Seattle,10.0,US,13.0,,Executive chef/Culinary director,Male,,
168,Carla Pellegrino,Carla P.,"Rio de Janeiro, Brazil",Las Vegas,Nevada,43.0,Seattle,10.0,US,15.0,,Chef/Owner,Female,,Executive Chef and Owner/Partner/Founder
169,Chrissy Camba,Chrissy C.,"Chicago, Illinois",Chicago,Illinois,31.0,Seattle,10.0,US,15.0,POC,Chef,Female,,Chef
170,Kuniko Yagi,Kuniko Y.,"Maebashi, Japan",Los Angeles,California,35.0,Seattle,10.0,US,17.0,POC,Executive chef,Female,,
171,Jeffrey Jew,Jeffrey J.,"Washington, D.C.",St. Petersburg,Florida,34.0,Seattle,10.0,US,18.0,POC,Chef de Cuisine,Male,,Chef de Cuisine
172,Nicholas Elmi,Nicholas E.,"West Newbury, Massachusetts",Philadelphia,Pennsylvania,32.0,New Orleans,11.0,US,1.0,,Executive chef,Male,,
173,Nina Compton,Nina C.,Saint Lucia,New Orleans,Louisiana,34.0,New Orleans,11.0,US,2.0,POC,Chef/Owner,Female,,Executive Chef and Owner/Partner/Founder
174,Shirley Chung,Shirley C.,"Beijing, China",Las Vegas,Nevada,36.0,New Orleans,11.0,US,3.0,POC,Executive chef,Female,,
175,Louis Maldonado,Louis M.,"Ukiah, California",Healdsburg,California,32.0,New Orleans,11.0,US,4.0,POC,Executive chef,Male,,
176,Carlos Gaytan,Carlos G.,"Huitzuco, Guerrero, Mexico",Chicago,Illinois,42.0,New Orleans,11.0,US,5.0,POC,Executive chef/Owner,Male,,
177,Brian Huskey,Brian Hu.,"Pasadena, California",Los Angeles,California,32.0,New Orleans,11.0,US,6.0,POC,Executive chef,Male,,
178,Stephanie Cmar,Stephanie C.,"Boston, Massachusetts",Boston,Massachusetts,28.0,New Orleans,11.0,US,7.0,,Sous chef,Female,,
179,Carrie Mashaney,Carrie M.,"Carpenter, Iowa",Seattle,Washington,35.0,New Orleans,11.0,US,8.0,,Chef de Cuisine,Female,,Chef de Cuisine
180,Justin Devillier,Justin D.,"Dana Point, California",New Orleans,Louisiana,32.0,New Orleans,11.0,US,9.0,,Chef/Proprieter,Male,,Executive Chef and Owner/Partner/Founder
